City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
56,Koilas,GR,37.4095,23.1147,43.59,72,34,3.6,scattered clouds
57,Ribeira Grande,PT,38.5167,-28.7,59.4,63,40,19.57,scattered clouds
58,Springbok,ZA,-29.6643,17.8865,77.02,42,81,7.09,broken clouds
59,Vangaindrano,MG,-23.35,47.6,73.15,81,31,3.15,scattered clouds
60,Norman Wells,CA,65.282,-126.8329,-25.56,62,75,0.0,broken clouds
61,Yeysk,RU,46.6989,38.2792,38.68,84,100,17.58,overcast clouds
62,Kodiak,US,57.79,-152.4072,26.11,68,0,12.66,clear sky
63,Port Elizabeth,ZA,-33.918,25.5701,72.1,94,20,12.66,few clouds
64,Faanui,PF,-16.4833,-151.75,80.6,72,11,9.1,few clouds
65,Constantine,DZ,36.365,6.6147,44.01,70,0,2.3,clear sky
66,Prince Rupert,CA,54.3161,-130.3201,38.89,87,100,3.44,light rain
67,Komsomolskiy,UZ,40.4272,71.7189,30.92,86,100,2.3,mist
68,Birjand,IR,32.8663,59.2211,27.07,50,0,6.91,clear sky
69,Wynyard,AU,-41.0,145.7167,71.96,74,31,5.5,scattered clouds
70,Nikolskoye,RU,59.7035,30.7861,27.39,96,100,6.24,light snow
71,Saskylakh,RU,71.9167,114.0833,-19.66,100,99,2.37,overcast clouds
72,Hilo,US,19.7297,-155.09,78.53,54,20,9.22,few clouds
73,Tateyama,JP,34.9833,139.8667,39.22,51,100,16.67,overcast clouds
74,Mar Del Plata,AR,-38.0023,-57.5575,66.87,91,75,18.99,thunderstorm with rain
75,Yellowknife,CA,62.456,-114.3525,-6.59,90,100,1.01,light snow
76,Avarua,CK,-21.2078,-159.775,73.45,100,75,1.14,broken clouds
77,Airai,TL,-8.9266,125.4092,60.91,90,82,4.03,broken clouds
78,Ballina,AU,-28.8667,153.5667,75.38,92,75,9.22,broken clouds
